cluster,x.unit,tag_model,tag_serial_number,tag_sensor_type,tag_life,tagger,common_name,total_length_m,life_stage,sex,release_location,project,total_detections,days_at_liberty,days_monitored,days_detected,residency_max,residency_min,residency_ratio,residency_category,consecutive_days,highest_detection_month,artificial_reefs,n_reefs
2,teleost,V9-2X,1561919,None,895,TE,Black Sea Bass,0.401,NA,U,Shinnecock Bay,Southfork,28475,42,9,42,1,4.666666667,4.666666667,Resident,42,10,Shinnecock,1
2,teleost,V9-2X,1561920,None,895,FL,Black Sea Bass,0.35,NA,U,Shinnecock Bay,Southfork,83935,29,9,29,1,3.222222222,3.222222222,Resident,29,10,Shinnecock,1
1,teleost,V9-2X,1561921,None,895,AN,Summer Flounder,0.4,NA,U,Montauk,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V9-2X,1561922,None,895,AN,Black Sea Bass,0.333,NA,U,Montauk,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V9-2X,1561923,None,895,AN,Summer Flounder,0.382,NA,U,Montauk,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V9-2X,1561924,None,895,AN,Summer Flounder,0.445,NA,U,Shinnecock Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V9-2X,1561925,None,895,FL,Summer Flounder,0.389,NA,U,Shinnecock Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V9-2X,1561926,None,895,AN,Summer Flounder,0.44,NA,U,Shinnecock Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
2,teleost,V9-2X,1561927,None,895,AN,Summer Flounder,0.392,NA,U,Shinnecock Bay,Southfork,292,1,71,1,1,0.014084507,0.014084507,Transient,1,9,Shinnecock,1
1,teleost,V9-2X,1561928,None,895,AN,Summer Flounder,0.458,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V9-2X,1561929,None,895,FL,Summer Flounder,0.404,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V9-2X,1561930,None,895,AN,Summer Flounder,0.379,NA,U,East Hampton,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
2,teleost,V9-2X,1561931,None,895,AN,Summer Flounder,0.414,NA,U,Montauk,Southfork,582,2,72,2,1,0.027777778,0.027777778,Transient,2,11,Fire Island,1
1,teleost,V9-2X,1561932,None,895,AN,Black Sea Bass,0.458,NA,U,Montauk,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V9-2X,1561933,None,895,AN,Summer Flounder,0.382,NA,U,Montauk,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
